Date,Country,Region,Plastic_Waste_Tons,Plastic_Recycled_Tons,Burned_Waste_Tons,Illegal_Dumping_Cases,Trees_Cut,Deforestation_Area_Ha,Forest_Fires_Reported
2023/4/21,Germany,Rural,2121.04,359.7,2993.74,1,135,5.32,2
2021/7/23,Mexico,Coastal,1217.32,1400.9,372.14,3,985,19.3,1
2020/1/14,Nigeria,Forest,936.61,629.19,1003.1,2,192,5.65,2
2020/11/22,China,Suburban,2587.62,603.42,2427.47,2,912,18.9,0
2023/11/30,China,Coastal,3383.44,658.83,1040.52,3,56,18.78,1
2022/5/15,Nigeria,Mountain,3181.21,846.59,1543.72,1,344,16.87,0
2021/11/27,Mexico,Suburban,801.05,388.32,2191.32,0,740,2.41,1
2021/7/23,Germany,Rural,1298.5,1327.31,589.4,3,788,0.54,0
2020/11/14,Germany,Urban,1121.43,848.34,655.73,3,568,15.98,3
2021/3/16,Brazil,Suburban,1438.29,130.02,365.57,5,701,16.94,1
2021/11/20,Germany,Mountain,2951.09,1943.69,2448.22,2,575,19.26,1
2020/7/28,Nigeria,Coastal,4102.26,677.3,3318.73,3,83,4.76,2
2020/7/8,USA,Suburban,2178.49,110.03,267.06,3,939,14.8,2
2022/2/17,Nigeria,Rural,964.84,359.19,1267.66,2,984,10.62,1
2020/7/17,Nigeria,Coastal,1620.84,1166.27,596.05,6,801,6.91,0
2022/1/5,Russia,Urban,4612.54,469.08,628.21,5,378,12.32,2
2021/12/5,India,Mountain,1781.59,510.08,1608.62,3,881,11.19,0
2023/5/21,Philippines,Suburban,1309.68,999.88,1072.22,1,658,6.2,1
2021/6/25,USA,Mountain,1398.85,734.54,1497.9,3,829,5.74,1
2020/3/29,Indonesia,Forest,2171.51,900.48,3254.85,4,687,9.99,1
2024/2/3,India,Coastal,825.63,991.34,1317.51,2,83,9.74,1
2022/7/29,China,Forest,1099.2,266.1,1651.82,2,844,6.39,0
2023/1/3,Mexico,Suburban,3149.77,294.04,2132.6,3,455,5.64,1
2020/9/12,Philippines,Mountain,2128.13,232.31,542.34,2,67,19.11,1
2022/2/14,Philippines,Rural,1795.16,311.44,1770.76,1,479,17.32,1
2020/6/10,Russia,Forest,3256.01,491.78,613.84,1,477,16.43,0
2023/2/4,China,Rural,914.69,525.92,298.18,3,963,4.68,2
2021/8/23,Indonesia,Forest,1278.43,1621.25,1407.23,3,342,4.19,0
2023/7/11,USA,Coastal,2078.93,704.56,334.86,3,952,16.28,1
2023/6/20,Nigeria,Coastal,2026.91,500.92,1078.25,0,629,4.1,2
2022/1/10,USA,Suburban,425.85,178.78,887.22,4,798,10.32,1
2023/3/28,Russia,Mountain,1180.46,412.41,2689.2,3,129,4.82,4
2021/1/28,Philippines,Coastal,1467,2053.8,332.71,5,135,7.87,1
2023/12/13,USA,Forest,2244.61,2029.81,1324,8,621,17.14,2
2020/5/22,Germany,Forest,2021.76,407.48,491.52,3,97,17.88,2
2020/4/3,Mexico,Rural,1572.39,66.25,201.17,2,740,19.94,0
2023/9/16,Nigeria,Urban,214.11,355.94,101.76,5,917,18.91,0
2021/4/11,China,Forest,1632.67,1634.68,346.07,3,133,13.59,0
2021/8/15,Germany,Rural,1745.64,494.98,330.5,0,656,8.92,0
2020/6/12,Germany,Mountain,7298,1000.71,107.77,4,357,1.63,0
2021/4/21,Germany,Coastal,1430.46,549.67,1947.81,1,301,12.36,1
2020/7/25,Indonesia,Coastal,2087.06,98.24,2329.21,1,530,4.61,0
2022/2/17,Nigeria,Forest,3620.21,567.7,520.39,2,894,17.08,2
2021/7/23,Indonesia,Coastal,2838.07,1110.06,701.88,1,229,11.2,0
2022/7/17,Indonesia,Mountain,4212.8,306.89,834.34,3,645,14.8,4
2023/7/25,Mexico,Urban,432.91,1086.89,2129.2,5,359,13.63,0
2022/1/17,Germany,Suburban,687.06,600.51,2160.68,4,986,7.27,0
2020/11/29,Indonesia,Forest,1037.27,1041.02,1305.45,3,475,15.3,0
2022/1/28,Mexico,Mountain,359.32,743.62,1271.72,3,535,16.95,1
2021/12/28,India,Suburban,1756.76,193.26,649.08,4,711,15.01,1
2021/3/5,Mexico,Rural,739.18,416.55,807.27,3,88,15.65,0
2023/10/4,India,Urban,4575.21,403.54,2435.23,3,328,7.52,0
2021/6/30,Brazil,Forest,846.2,291.78,567.03,2,865,18.9,0
2023/12/8,India,Coastal,1284.5,694.13,745.4,3,674,8.78,2
2023/10/31,India,Forest,2952.96,2329.08,1822.79,4,425,17.99,0
2023/8/20,Russia,Rural,529.14,1328.65,717.99,2,978,17.23,0
2020/5/26,Indonesia,Coastal,333.58,1468.32,833.68,8,688,2.92,1
2023/6/1,USA,Suburban,1916.57,273.2,1853.5,2,90,19.34,0
2023/7/24,Brazil,Urban,2025.19,1487.03,101.64,1,719,19.93,1
2020/12/16,Indonesia,Suburban,2893.45,1873.29,321.58,8,767,12.32,4
2022/12/29,India,Forest,2435.38,263.57,3542.35,2,96,15.77,2
2024/2/2,USA,Mountain,2080.22,815.35,1843.54,3,533,18.71,1
2021/5/16,Mexico,Rural,933.88,833.57,2026.1,1,234,0.89,1
2020/11/30,Germany,Forest,1984.84,446.31,1279.19,3,121,18.63,0
2022/8/4,Nigeria,Suburban,2074.37,646.74,1406.93,6,618,12.73,0
2022/2/16,India,Mountain,904.08,867.99,584.8,3,800,16.65,0
2021/7/6,Philippines,Forest,5422.08,475.28,803.38,2,623,11.04,3
2023/8/3,Philippines,Rural,2356.27,1279.95,2071.12,2,391,10.85,0
2023/11/10,Germany,Forest,698.46,130.96,674.38,2,618,18,0
2023/2/14,Germany,Coastal,2903.28,401.83,567.04,4,292,10.4,1
2021/3/25,India,Coastal,3245.4,1016.94,998.02,3,377,9.7,2
2023/11/3,India,Mountain,2258.38,2151.96,1286.36,1,685,12.36,3
2021/10/26,Mexico,Suburban,1369.52,1343.24,2544.83,5,202,10.61,2
2020/4/24,Mexico,Coastal,870.69,635.1,5843.33,2,304,9.2,1
2021/4/14,Russia,Urban,1569.1,497.04,416.05,3,778,4.02,2
2020/3/6,India,Urban,2147.03,424.39,1689.1,3,473,8.25,0
2021/10/8,India,Forest,1683.51,426.85,1092.3,5,281,6,1
2022/4/1,Mexico,Suburban,4335.53,53.46,138.67,4,578,8.31,0
2021/7/2,China,Urban,2611.91,2087.37,2952.59,6,641,12.07,1
2020/5/15,Mexico,Urban,786.92,532.23,726.88,4,545,12.37,1
2021/3/8,China,Rural,631.19,245.85,689.25,1,225,5.15,1
2023/3/7,India,Rural,2370.35,804.71,2951.85,4,600,2.15,2
2024/1/10,Mexico,Urban,1394.5,267.85,972.17,2,192,15.02,2
2021/10/6,Russia,Rural,2768.81,1186.14,2361.68,2,66,10.81,0
2021/3/11,Indonesia,Urban,2355.31,254.54,833.36,5,298,9.12,2
2023/9/4,Brazil,Mountain,1574.4,1054.55,1513.97,2,84,3.03,1
2022/10/19,Brazil,Rural,795.06,418.41,919.18,2,850,8.59,0
2022/3/21,Mexico,Urban,376.2,717.57,484.89,1,195,16.45,1
2023/8/9,Indonesia,Urban,1958.62,1119.45,1551.4,4,975,11.84,0
2022/7/28,USA,Forest,520.25,330.32,1825.6,2,776,2.27,1
2020/10/19,USA,Suburban,766.2,1097.99,1027.91,4,214,6.98,0
2021/6/26,Philippines,Mountain,1873.11,57.57,104.32,0,160,19.61,1
2020/10/12,Mexico,Suburban,1742.95,1766.62,333.74,3,696,11.12,2
2021/5/20,China,Mountain,583.72,1251.28,643.22,6,123,6.08,0
2023/2/23,Nigeria,Forest,3492.33,515.44,2790.5,3,717,18.31,2
2023/1/8,China,Forest,3430.86,1429.43,982.41,1,776,7.05,1
2021/6/22,Russia,Suburban,2423.91,1316.73,2755.28,4,403,14.73,1
2023/4/12,Brazil,Forest,2421.84,559.7,2158.2,0,323,3.37,1
2022/5/27,Nigeria,Coastal,2423.93,554.25,687.54,2,992,3.55,1
2023/4/10,Russia,Urban,3226.56,213.53,1205.72,4,328,11.45,2
2022/3/28,Germany,Coastal,2656.98,587.32,1860.34,1,709,5.18,2
2022/1/11,Philippines,Rural,854.8,93.76,509.47,3,80,1.46,0
2021/3/25,USA,Forest,1379.25,1044.08,1756.68,5,575,18.57,0
2020/10/10,USA,Suburban,6796.53,1062.23,1602.33,2,584,1.59,0
2022/11/9,China,Urban,231.48,59.04,482.68,1,559,14.49,1
2022/10/7,Brazil,Urban,1128.63,1640.95,1490.09,5,563,6.99,0
2020/7/5,India,Rural,3504.81,301.08,943.14,1,974,18.7,0
2020/4/6,Brazil,Suburban,903.27,3824.38,260.13,2,227,19.73,0
2020/8/12,Russia,Mountain,2706.98,685.82,643.24,2,378,7.04,0
2020/11/9,Russia,Urban,1726.19,1653.1,622.3,2,620,12.03,0
2023/7/9,Russia,Mountain,959.04,205.67,3143.73,2,850,15.57,1
2020/11/23,Mexico,Suburban,181.01,417.52,339.84,1,737,2.91,0
2023/10/25,Germany,Urban,1919.15,328.61,566.2,2,221,14.33,2
2022/5/14,India,Coastal,838.61,91.31,1387.64,3,445,18.17,0
2023/5/6,India,Forest,1522.89,131.52,1072.29,3,644,3.98,0
2020/5/10,Indonesia,Suburban,2407.3,497.1,868.17,0,987,16.85,1
2022/2/27,Brazil,Mountain,3052.81,781.4,854.53,5,784,2.75,2
2022/2/20,Germany,Coastal,1125.63,180.87,2041.69,7,84,11.58,3
2023/5/5,Russia,Suburban,957.5,392.92,492.95,3,346,7.12,1
2022/8/16,Nigeria,Urban,511.31,266.35,365.61,1,518,9.7,1
2022/12/19,Philippines,Forest,3154.63,528.46,99.82,3,544,6.36,3
2021/5/29,Brazil,Coastal,6181.73,980.81,674.95,1,671,5.58,1
2023/2/7,Mexico,Forest,3386.48,615.43,277.15,3,284,14.99,0
2020/1/24,India,Urban,3895.6,314.21,783.3,3,958,4.85,1
2023/10/25,USA,Suburban,909.83,1283.06,150,1,88,8.46,0
2024/1/16,USA,Urban,2307.8,760.04,773.26,5,268,5.85,3
2020/8/22,Philippines,Coastal,2880.07,631.6,1303.36,4,266,5.15,0
2023/10/28,Germany,Urban,663.14,183.61,989.21,0,755,12.73,0
2023/1/4,China,Rural,4787.15,1179.14,1645.77,3,724,1.39,1
2021/6/30,India,Forest,418.21,825.79,2306.15,1,677,15.88,1
2023/8/5,Brazil,Urban,4305.66,862.02,1276.67,11,889,11.15,1
2021/11/27,China,Urban,415.28,453.08,1009.14,0,722,16.65,4
2020/8/16,Mexico,Suburban,693.54,378.99,1419.52,4,650,4.65,2
2021/8/24,Philippines,Rural,2337.25,2095.28,1311.61,3,469,14.33,1
2022/6/9,India,Forest,1758.41,373.31,1872.52,3,702,8.7,2
2020/11/19,Indonesia,Mountain,1217.08,142.49,1064.44,0,873,2,0
2022/7/18,Nigeria,Rural,4667.14,659.83,305.59,1,223,15.17,3
2020/1/7,India,Rural,524.97,555.43,2225.58,4,762,15.36,0
2024/1/18,USA,Forest,1478.29,1328.45,162.15,7,916,5.78,1
2024/1/13,Philippines,Suburban,2547.4,486.41,1756.5,1,863,18.36,0
2021/6/23,Indonesia,Rural,2056.38,955.49,1395.28,0,917,15.4,0
2022/10/22,Russia,Forest,985.09,1726.49,1423.96,2,162,6.48,0
2020/12/31,Brazil,Suburban,1015.71,785.81,1089.04,4,928,5.16,1
2022/11/5,China,Rural,3021.7,194.72,545.76,2,989,9.08,3
2020/8/5,Indonesia,Forest,3118.69,804.66,935.54,3,223,6.21,1
2023/7/4,Philippines,Suburban,2095.7,399.61,2457.17,3,123,4.73,0
2021/9/3,USA,Forest,809.17,699.54,1458.95,1,886,8.28,0
2023/8/1,Philippines,Mountain,1043.03,559.23,1471.09,3,848,1,1
2022/11/5,Russia,Suburban,1639.83,138.66,2501.4,2,686,8.33,0
2023/6/1,Mexico,Urban,1822.77,483.86,2712.44,4,585,4.82,1
2021/2/11,Nigeria,Suburban,2477.44,182.09,1816.79,4,81,5.65,2
2020/11/9,Russia,Forest,1419.03,345.66,3813.92,2,303,2.11,2
2022/2/4,Indonesia,Coastal,2975.51,1176.09,1451.49,1,546,11.98,2
2020/11/26,Brazil,Suburban,2952.95,599.37,1812.06,3,162,9.7,0
2023/1/9,Mexico,Mountain,3983.95,909.2,2110.23,2,244,15.14,1
2022/12/22,Nigeria,Suburban,1693.93,643.17,2617.36,5,577,19.75,1
2020/1/2,India,Suburban,2121.17,427.52,443.16,3,490,2.83,1
2023/5/11,Brazil,Mountain,1504.24,701.24,279.56,3,538,5.81,2
2021/10/25,Russia,Urban,817.79,72.49,327.64,7,546,13.81,2
2022/9/27,USA,Rural,6090.1,1047,678.72,4,773,5.13,2
2020/2/9,Brazil,Rural,3653.42,238.28,2163.3,2,669,1.09,2
2020/8/17,Nigeria,Forest,2911.84,863.12,838.75,4,73,2.64,1
2022/1/13,Philippines,Mountain,1650.91,411.43,941.39,3,339,8.96,2
2021/9/21,Philippines,Forest,755.95,138.78,279.87,3,945,8.9,1
2021/5/5,Philippines,Coastal,3269.09,286.26,314.42,6,357,19.46,0
2020/4/28,Russia,Suburban,1483.93,866.81,659.28,2,353,9.59,2
2021/5/8,Nigeria,Rural,2258.62,2608.63,521.58,0,904,13.72,2
2023/3/7,India,Forest,1039.69,527.45,1842.69,3,680,10.1,2
2020/6/10,China,Forest,2003.34,2386.6,278.2,3,742,5.76,1
2020/6/24,Germany,Mountain,1094.13,72.2,352.99,1,87,2.56,0
2024/2/7,Germany,Coastal,1129.52,442.63,1308.06,3,435,17.25,2
2022/9/22,USA,Coastal,1984.55,527.84,848.32,0,794,3.48,1
2020/5/21,Nigeria,Forest,409.07,904.48,788.93,2,630,2.39,1
2022/12/26,Mexico,Coastal,429.97,298.22,2143.58,4,131,4.67,2
2020/9/14,Russia,Coastal,900.57,757.75,808.84,6,167,0.55,2
2020/9/19,Russia,Mountain,1406.02,463.9,1056.86,3,870,1.9,1
2023/9/13,Indonesia,Suburban,3037.19,1478.01,665.07,3,99,12.89,3
2022/8/31,Philippines,Mountain,1468.6,660.35,943.53,0,718,5.25,0
2023/1/30,Russia,Suburban,1642.88,3599.46,1888.48,7,123,7.1,2
2020/12/4,Brazil,Coastal,1321.09,467.42,737.24,3,744,16.79,3
2021/6/26,Philippines,Forest,2118.97,1405.01,1191.39,4,155,15.57,1
2022/12/16,China,Rural,810.58,1760.01,746.1,5,750,10.1,2
2023/5/27,USA,Forest,1530.16,1036.33,94.47,2,867,12.45,0
2022/5/16,Brazil,Forest,2240.92,451.49,535.85,0,833,2.17,1
2021/3/9,Brazil,Rural,1973.03,164.64,648.77,1,648,15.35,1
2023/1/9,China,Mountain,1682.98,1497.9,1049.38,1,911,10.57,0
2024/2/3,Indonesia,Forest,1698.51,316.71,1614,2,375,11.63,2
2023/11/13,Russia,Suburban,2395.79,65.83,874.43,2,733,13.48,0
2021/2/15,Indonesia,Coastal,6278.2,674.43,724.88,3,813,10.25,3
2023/12/31,Russia,Coastal,859.34,1671.53,1261.37,2,405,10.67,0
2021/9/30,Nigeria,Mountain,6393.35,167.36,1009.9,3,517,10.24,1
2022/3/28,Nigeria,Mountain,825.79,1148.17,275.63,3,705,10.19,1
2023/10/7,Brazil,Mountain,153.51,40.86,2767.65,6,333,15.13,1
2023/8/23,Brazil,Urban,1075.89,1762.79,771.39,4,234,8.83,0
2022/2/3,India,Suburban,2147.95,799.05,1009.78,4,203,0.56,0
2022/6/16,China,Urban,5451.6,146.37,216.81,1,903,12.44,1
2022/11/25,Germany,Coastal,755.06,1065.78,2237.78,0,167,19.08,4
2022/7/13,Nigeria,Forest,2385.81,335.66,684.28,4,316,5.51,2
2020/9/4,China,Urban,477.24,213.79,2977.65,2,434,16.42,1
2021/5/22,Brazil,Forest,5325.39,328.17,970.07,7,886,9.38,0
2021/4/5,Indonesia,Rural,3700.08,980.46,1541.69,3,304,13.04,0
2020/5/11,Brazil,Coastal,1131.38,198.37,741.19,1,290,17.87,3
2021/11/23,Indonesia,Urban,4096.69,18.02,298.85,1,220,15.53,0
2020/2/13,Russia,Coastal,1523.13,345.89,1383.92,4,991,17.75,1
2023/4/19,Germany,Rural,3829.82,1545.48,1372.64,3,666,0.69,0
2023/2/8,Mexico,Rural,1673.45,1529.64,66.69,4,597,4.15,0
2021/4/16,Mexico,Coastal,1728.06,327.68,267.58,3,627,8.76,0
2023/4/20,Mexico,Urban,1150.54,315.66,2202.28,2,234,17.03,2
2021/3/27,Russia,Suburban,2607.01,295.55,688.29,0,951,16.85,0
2020/1/15,Brazil,Coastal,1826.84,281.83,1687.44,1,751,4.11,0
2020/5/25,India,Forest,2422.93,303.02,3977.48,3,716,3.27,0
2023/12/20,Brazil,Forest,367.05,703.23,1439.41,3,942,16.78,1
2023/7/16,Nigeria,Forest,3920.13,1574.26,983.2,3,459,11.06,0
2020/4/30,Mexico,Forest,4578.29,197.99,530.12,1,788,12.72,0
2021/4/13,Brazil,Forest,1820.51,243.88,1264.81,6,702,16.28,1
2020/5/18,Philippines,Rural,5993.71,774.62,1378.9,2,637,4.63,0
2020/3/5,Philippines,Urban,5115.04,1026.95,1070.56,2,195,3.16,1
2021/11/7,Nigeria,Urban,2646.39,93.72,1737.62,5,87,17.25,2
2020/5/25,Russia,Mountain,4131.49,2032.72,330.03,4,539,2.68,2
2022/11/18,India,Coastal,3440.52,413.66,1086.75,4,311,2.22,3
2021/5/2,China,Rural,271.13,107.03,986.75,2,175,5.9,2
2021/7/24,Russia,Rural,1342.5,87.25,607.73,8,653,6.68,1
2023/10/2,Russia,Coastal,2775.23,79.74,1353.76,5,845,5.2,2
2022/9/21,Brazil,Coastal,4777.26,1384.05,296.73,5,394,14.96,0
2021/3/14,Mexico,Forest,444.44,603.84,499.18,7,310,19.48,1
2023/1/9,USA,Rural,292.99,1393.96,755.24,2,492,4.39,0
2020/9/27,Philippines,Rural,1595.98,505.05,857.27,2,928,15.75,1
2024/1/21,Mexico,Coastal,168.86,1363.62,1407.89,3,157,1.36,0
2023/3/15,Indonesia,Coastal,1554.24,493.29,1522.9,6,606,2.82,0
2023/3/26,Russia,Urban,2186.15,901.31,484.65,2,929,10.54,1
2022/8/26,Indonesia,Forest,723.93,537.75,2959.63,6,486,19.99,1
2021/5/12,Indonesia,Mountain,1587.05,465.44,1343.97,6,563,19.01,0
2022/8/26,China,Forest,3228.85,221.61,3584,4,994,2.68,0
2022/4/13,China,Rural,1071.55,1006.3,2578.66,5,762,5.17,0
2021/1/24,China,Suburban,838.32,168.34,622.05,4,139,18.94,1
2020/7/12,Germany,Urban,1532.27,1004.93,295.31,2,264,3.44,1
2020/7/17,Indonesia,Suburban,655.59,628.74,222.27,2,676,14.98,0
2023/9/11,Brazil,Coastal,5707.41,1027.03,80.37,6,368,0.52,0
2022/6/1,Indonesia,Mountain,1712.61,678.05,1206.14,5,653,12.82,2
2021/12/26,Russia,Rural,916.7,1481.84,577.55,2,887,10.14,0
2022/5/17,China,Mountain,1958.46,829.36,1592.34,2,747,9.68,1
2022/4/21,Russia,Suburban,1525.82,640.7,605.5,4,821,16.67,0
2022/8/14,China,Suburban,1397.36,1528.62,478.86,3,719,2.07,0
2024/2/2,Germany,Forest,1071.32,78.39,1519.55,3,106,7.86,0
2020/4/20,Brazil,Urban,1028.33,121.25,4212.19,6,608,9.2,1
2023/10/11,Nigeria,Forest,376.04,1106.98,2535.97,3,451,2.92,1
2023/8/31,China,Suburban,4127.34,583.93,1538.99,4,271,2.17,0
2023/8/16,USA,Coastal,2527.3,83.63,2357.38,4,524,4,2
2020/7/20,Germany,Urban,2101.65,315.19,1418.6,4,157,5.2,0
2020/5/4,Philippines,Suburban,1506.92,1466.73,67.11,4,912,19.34,0
2022/4/4,Philippines,Forest,712.39,660.26,1758.59,5,861,9.77,1
2024/1/31,USA,Mountain,868.5,597.15,1500.2,0,229,10.45,0
2021/11/25,Germany,Urban,422.28,275.61,2026.33,3,226,14.29,5
2020/8/11,Brazil,Urban,963.54,1138.9,573.69,1,536,13.84,3
2021/5/24,Indonesia,Coastal,624.01,519.33,2256.39,3,463,10.3,1
2021/1/27,China,Coastal,4931.35,973.03,324.68,10,741,7.13,1
2021/1/24,India,Mountain,3083.62,245.35,1137.06,3,86,6.96,2
2023/1/3,Russia,Mountain,1768.56,2619.02,999.25,3,624,1.63,2
2022/7/7,Nigeria,Urban,783.69,1678.02,34.38,2,317,18.04,2
2020/10/14,Philippines,Rural,654.2,654,636.21,2,834,15.5,1
2022/5/14,Russia,Suburban,1432.82,785.55,1483.91,1,851,12.66,1
2021/1/10,Nigeria,Suburban,3171.08,318.38,651.63,4,973,8.22,2
2021/7/24,Germany,Forest,434.64,1037.67,2773.99,4,437,11.86,0
2022/8/5,Nigeria,Urban,2504.22,2009.28,1210.35,5,403,9.96,2
2021/5/26,Russia,Suburban,959.9,988.69,810.03,6,863,5.84,1
2020/6/3,Philippines,Suburban,1113.57,193.2,2265.14,2,319,6.32,2
2022/6/26,Indonesia,Mountain,1730.1,1972.48,704.89,2,318,17.55,0
2023/2/1,China,Urban,807.61,2455.11,355.03,2,491,12.88,1
2020/7/19,Nigeria,Coastal,1376.83,822.3,1572.85,2,354,0.53,1
2020/4/13,Philippines,Forest,748.12,250.06,290.24,1,295,6.87,2
2023/8/28,USA,Urban,1027.44,605.72,662.8,2,227,7.13,0
2023/1/12,Germany,Coastal,2844.44,924.63,1047.24,4,116,14.27,2
2020/1/31,Nigeria,Forest,1798.22,764.94,801.73,4,326,14.16,0
2020/7/10,Indonesia,Forest,2837.07,193.23,6497.89,3,257,9.55,1
2021/4/29,Russia,Rural,949.23,910.77,1429.95,2,356,19.04,4
2020/12/6,Nigeria,Coastal,2517.16,1453.52,923.32,2,599,17.51,1
2022/4/12,China,Forest,324.8,141.94,589.38,2,680,17.39,2
2022/9/21,Germany,Suburban,1729.52,164.82,1335.45,1,587,7.29,1
2022/9/12,Philippines,Rural,2634.49,304.63,2334.14,2,567,8.9,0
2021/3/13,USA,Rural,310.28,475.15,185.75,3,323,8.67,1
2022/4/1,Nigeria,Urban,958.83,1162.31,1308.46,2,282,9.09,1
2020/4/30,Russia,Suburban,1728.61,1441.07,879.03,3,163,17.84,0
2020/12/3,China,Suburban,3332.56,237.98,1825.82,5,183,5.36,2
2022/2/15,Russia,Mountain,1027.33,697.91,1057.75,5,474,16.14,1
2020/1/5,Nigeria,Mountain,2448.47,1396.26,1467.56,1,874,10.52,0
2022/3/10,Brazil,Forest,4306.37,694.71,3745.82,3,739,5.36,0
2021/6/27,Philippines,Forest,2528.18,728.69,1870.51,6,74,10.78,2
2022/7/20,USA,Forest,1418.04,826.6,797.39,3,609,4.31,0
2021/8/7,Philippines,Urban,2193.2,428,407.66,3,329,2.61,0
2022/5/16,Mexico,Rural,1002.2,648.59,880.96,1,975,16.84,3
2023/11/27,Indonesia,Mountain,1780.97,35.52,413.98,2,392,14.14,1
2024/2/5,Mexico,Coastal,1473.66,320.24,1134.13,0,862,4.5,0
2023/2/12,India,Mountain,2141.61,898.97,1136.78,2,860,18.87,0
2023/9/17,Germany,Rural,1189.48,222.4,234.73,4,121,0.98,3
2024/1/11,USA,Rural,2229.53,1184.16,1109.59,5,250,7,0
2022/9/23,Germany,Coastal,1180.11,63.28,2990.84,6,375,0.92,0
2020/11/13,China,Urban,3063.2,1147.9,1077.63,6,82,3.27,1
2021/1/23,Brazil,Mountain,1280.21,1145.42,725.11,6,146,4.01,2
2021/8/30,Russia,Forest,177.22,2763.76,1764.28,3,606,16.3,0
2021/3/21,Germany,Suburban,674.59,411.38,897.02,3,312,19.86,0
2020/4/29,Indonesia,Urban,1690.56,584.4,957.81,5,923,17.41,0
2023/4/1,China,Forest,4902.92,1864.55,2265.22,2,963,12.89,2
2023/1/15,USA,Mountain,2983.1,1687.98,442.53,4,119,14.6,0
2020/5/4,China,Coastal,131.67,1325.82,1997.86,4,862,10.7,1
2021/10/4,Indonesia,Urban,393.82,787.7,220.95,4,342,8.74,1
2020/4/27,Russia,Mountain,3622.23,1826.61,4042.13,5,966,14,1
2020/4/12,Russia,Forest,2624.32,3489.74,455.18,4,779,19.48,1
2023/4/11,Brazil,Mountain,6652.68,969.63,1095.77,6,256,1.06,0
2022/9/3,Germany,Suburban,1141.19,610.38,2664.57,3,221,6.62,0
2022/10/26,Philippines,Rural,792.66,1066.95,227.63,0,807,6.94,0
2022/12/23,Germany,Rural,1760.78,686.09,653.4,2,975,8.58,0
2020/11/18,Philippines,Mountain,1122.94,448,1883.99,5,444,12.72,1
2020/4/26,Russia,Forest,3397,1188.18,140.85,1,305,10.52,1
2022/11/6,Mexico,Rural,1091.14,353.85,1494.2,2,313,0.87,0
2020/6/13,Mexico,Mountain,1341.97,953.32,1330.46,7,950,8.53,2
2021/1/15,Russia,Mountain,695.51,89.05,263.2,2,313,12.58,3
2020/5/20,Mexico,Suburban,2847.39,2076.55,4044.93,5,566,10.34,1
2023/5/3,India,Forest,737.12,258.22,1040.89,4,59,17.51,0
2020/5/19,Nigeria,Rural,2259.41,118.3,747.19,2,320,8.27,3
2023/10/14,Mexico,Forest,5453.37,1643.93,346.28,2,791,0.74,0
2021/4/26,Philippines,Forest,263.52,1883.09,409.89,1,361,6.06,0
2022/4/6,Brazil,Suburban,4440.16,773.92,3729.61,0,419,3.15,0
2020/9/2,Brazil,Forest,2054.86,533.46,1094.16,2,616,5.38,1
